TRAMO,PR,LATITUD,LONGITUD,DISTANCIA
2002,125,1.87276,-76.22929,0
2002,126,1.86969157,-76.23248315,887
2002,127,1.86149206,-76.23005153,1872
2002,128,1.85274714,-76.23057127,2928
2002,129,1.8509167,-76.22218173,3916
2002,130,1.85394193,-76.21384425,4922
2002,131,1.85708202,-76.20478986,6032
2002,132,1.8558717,-76.1999342,7046
2002,133,1.85622275,-76.19218664,8085
2002,134,1.85773482,-76.18493541,9126
2002,135,1.85654002,-76.17662611,10076
2002,136,1.85588101,-76.16711595,11138
2002,137,1.85548103,-76.15766701,12211
2002,138,1.8559038,-76.1492796,13145
2002,139,1.85662805,-76.13923562,14266
2002,140,1.8607482,-76.13120487,15325
2002,141,1.86674903,-76.12810062,16378
2002,142,1.87056655,-76.11983227,17413
2002,143,1.86585511,-76.11202131,18452
2002,144,1.8594861,-76.10502527,19502
2002,145,1.85260561,-76.09718586,20659
2002,146,1.846387,-76.090274,21691
2003,0,2.06233444,-75.79084869,0
2402,99,2.47958,-75.55513,0
2402,100,2.48751168,-75.55107379,1002
4502,0,0.57799289,-76.54846787,0
4502,1,0.58587229,-76.55761219,1604
4502,2,0.59123177,-76.5628916,2439
4502,3,0.59551049,-76.5675192,3139
4502,4,0.604045,-76.57280433,4253
4502,5,0.61270923,-76.5743497,5242
4502,6,0.62123421,-76.57597253,6206
4502,7,0.62965647,-76.58020647,7270
4502,8,0.63759272,-76.58208101,8213
4502,9,0.64609704,-76.58624511,9288
4502,10,0.65402662,-76.58867867,10253
4502,11,0.6604561,-76.59518373,11339
4502,12,0.66916572,-76.60187898,12592
4502,13,0.67583742,-76.60212412,13342
4502,14,0.68362714,-76.60541168,14319
4502,15,0.69222601,-76.60600705,15297
4502,16,0.70130192,-76.60427701,16321
4502,17,0.71097365,-76.59947851,17573
4502,18,0.71831025,-76.59851245,18416
4502,19,0.727003,-76.59353001,19552
4502,20,0.73418627,-76.59239402,20421
4502,21,0.74163522,-76.59127743,21337
4502,22,0.74814574,-76.58759914,22280
4502,23,0.75805398,-76.58588792,23394
4502,24,0.7651236,-76.58132538,24429
4502,25,0.77298208,-76.58101192,25349
4502,26,0.78008411,-76.57651024,26377
4502,27,0.78894948,-76.57458026,27398
4502,28,0.7986675,-76.57301844,28533
4502,29,0.8047971,-76.57256503,29373
4502,30,0.81314342,-76.56822948,30481
4502,31,0.82114661,-76.56934697,31435
4502,32,0.82900529,-76.57085879,32372
4502,33,0.83803039,-76.57110264,33431
4502,34,0.84552233,-76.57355117,34429
4502,35,0.85308662,-76.57647111,35403
4502,36,0.8614281,-76.57895974,36743
4502,37,0.86950776,-76.5787919,37720
4502,38,0.87656914,-76.5788459,38534
4502,39,0.88740803,-76.5766597,39775
4502,40,0.8940389,-76.57514217,40569
4502,41,0.89977933,-76.57217721,41386
4502,42,0.90816319,-76.57383254,42353
4502,43,0.9153665,-76.57361549,43295
4502,44,0.91870248,-76.57910862,44415
4502,45,0.92320597,-76.58408954,45342
4502,46,0.93030719,-76.58605578,46248
4502,47,0.94008961,-76.58845483,47382
4502,48,0.94932557,-76.59165053,48484
4502,49,0.95646413,-76.59413288,49323
4502,50,0.96401885,-76.59850689,50309
4502,51,0.97451288,-76.6031951,51603
4502,52,0.98072731,-76.60507035,52327
4502,53,0.98939762,-76.60901674,53427
4502,54,0.99721,-76.611288,54329
4502,55,1.00586,-76.612506,55321
4502,56,1.013837,-76.612911,56287
4502,57,1.022567,-76.615311,57289
4502,58,1.03017989,-76.61746225,58166
4502,59,1.0392572,-76.61639392,59393
4502,60,1.04267693,-76.62002599,60337
4503,2,1.16391222,-76.64715367,750
4503,3,1.17388147,-76.64928006,1889
4503,4,1.18254185,-76.64870039,2851
4503,5,1.19265657,-76.64654327,4015
4503,6,1.19992331,-76.64276951,4984
4503,7,1.20871096,-76.64290263,5984
4503,8,1.21546616,-76.63768762,6951
4503,9,1.2208919,-76.6321543,7892
4503,10,1.22533014,-76.6239612,8975
4503,11,1.23343029,-76.6189481,10129
